,freight_demand_scenario,energy_system_scenario,region,year,energy_price,technology,energy_price_unit
1768,agricultual_production_shift,net_zero_2050,california,2040,2.2960731638421144,biodiesel,$/Gallon
1769,agricultual_production_shift,net_zero_2050,california,2045,1.7990961477522158,biodiesel,$/Gallon
1770,agricultual_production_shift,net_zero_2050,california,2050,1.4096617519191466,biodiesel,$/Gallon
1772,agricultual_production_shift,net_zero_2050,central,2025,6.800086672369955,biodiesel,$/Gallon
1773,agricultual_production_shift,net_zero_2050,central,2030,5.303818745645889,biodiesel,$/Gallon
1774,agricultual_production_shift,net_zero_2050,central,2035,4.552163339808279,biodiesel,$/Gallon
1775,agricultual_production_shift,net_zero_2050,central,2040,3.821690317314664,biodiesel,$/Gallon
1776,agricultual_production_shift,net_zero_2050,central,2045,3.2968272805823324,biodiesel,$/Gallon
1777,agricultual_production_shift,net_zero_2050,central,2050,2.6581710418021043,biodiesel,$/Gallon
1779,agricultual_production_shift,net_zero_2050,middle_atlantic,2025,8.002190956294234,biodiesel,$/Gallon
1780,agricultual_production_shift,net_zero_2050,middle_atlantic,2030,6.286526061469815,biodiesel,$/Gallon
1781,agricultual_production_shift,net_zero_2050,middle_atlantic,2035,6.238051749954258,biodiesel,$/Gallon
1782,agricultual_production_shift,net_zero_2050,middle_atlantic,2040,5.635997326765153,biodiesel,$/Gallon
1783,agricultual_production_shift,net_zero_2050,middle_atlantic,2045,5.362938464374423,biodiesel,$/Gallon
1784,agricultual_production_shift,net_zero_2050,middle_atlantic,2050,4.449761188131655,biodiesel,$/Gallon
1786,agricultual_production_shift,net_zero_2050,north_east,2025,7.560213596053665,biodiesel,$/Gallon
1787,agricultual_production_shift,net_zero_2050,north_east,2030,5.9068323425315725,biodiesel,$/Gallon
1788,agricultual_production_shift,net_zero_2050,north_east,2035,5.940557571235829,biodiesel,$/Gallon
1789,agricultual_production_shift,net_zero_2050,north_east,2040,5.402903920424487,biodiesel,$/Gallon
1790,agricultual_production_shift,net_zero_2050,north_east,2045,5.180308862083089,biodiesel,$/Gallon
1791,agricultual_production_shift,net_zero_2050,north_east,2050,4.303701059333947,biodiesel,$/Gallon
1793,agricultual_production_shift,net_zero_2050,north_west,2025,4.772944024798353,biodiesel,$/Gallon
1794,agricultual_production_shift,net_zero_2050,north_west,2030,3.739722017970848,biodiesel,$/Gallon
1795,agricultual_production_shift,net_zero_2050,north_west,2035,2.9302907187334357,biodiesel,$/Gallon
1796,agricultual_production_shift,net_zero_2050,north_west,2040,2.296037821841328,biodiesel,$/Gallon
1797,agricultual_production_shift,net_zero_2050,north_west,2045,1.7990956347366835,biodiesel,$/Gallon
1798,agricultual_production_shift,net_zero_2050,north_west,2050,1.4096618444795317,biodiesel,$/Gallon
1800,agricultual_production_shift,net_zero_2050,north_central,2025,6.800086785822151,biodiesel,$/Gallon
1801,agricultual_production_shift,net_zero_2050,north_central,2030,5.303818765635073,biodiesel,$/Gallon
1802,agricultual_production_shift,net_zero_2050,north_central,2035,4.552163475641524,biodiesel,$/Gallon
1803,agricultual_production_shift,net_zero_2050,north_central,2040,3.821690261159376,biodiesel,$/Gallon
1804,agricultual_production_shift,net_zero_2050,north_central,2045,3.296827303832684,biodiesel,$/Gallon
1805,agricultual_production_shift,net_zero_2050,north_central,2050,2.658171100945848,biodiesel,$/Gallon
1807,agricultual_production_shift,net_zero_2050,south_east,2025,7.174149061932112,biodiesel,$/Gallon
1808,agricultual_production_shift,net_zero_2050,south_east,2030,5.60161496241151,biodiesel,$/Gallon
1809,agricultual_production_shift,net_zero_2050,south_east,2035,5.701192882077692,biodiesel,$/Gallon
1810,agricultual_production_shift,net_zero_2050,south_east,2040,5.215250645567065,biodiesel,$/Gallon
1811,agricultual_production_shift,net_zero_2050,south_east,2045,5.033266720828343,biodiesel,$/Gallon
1812,agricultual_production_shift,net_zero_2050,south_east,2050,4.188496162961404,biodiesel,$/Gallon
1814,agricultual_production_shift,net_zero_2050,south_west,2025,4.772945504697598,biodiesel,$/Gallon
1815,agricultual_production_shift,net_zero_2050,south_west,2030,3.7397220283402537,biodiesel,$/Gallon
1816,agricultual_production_shift,net_zero_2050,south_west,2035,2.9302898808769893,biodiesel,$/Gallon
1817,agricultual_production_shift,net_zero_2050,south_west,2040,2.2960377476299274,biodiesel,$/Gallon
1818,agricultual_production_shift,net_zero_2050,south_west,2045,1.7990958983813383,biodiesel,$/Gallon
1819,agricultual_production_shift,net_zero_2050,south_west,2050,1.409661658366006,biodiesel,$/Gallon
1821,agricultual_production_shift,net_zero_2050,texas,2025,7.00613759051283,biodiesel,$/Gallon
1822,agricultual_production_shift,net_zero_2050,texas,2030,5.463992975582457,biodiesel,$/Gallon
1823,agricultual_production_shift,net_zero_2050,texas,2035,5.593151923009839,biodiesel,$/Gallon
1824,agricultual_production_shift,net_zero_2050,texas,2040,5.130494657761004,biodiesel,$/Gallon
1825,agricultual_production_shift,net_zero_2050,texas,2045,4.966855936736092,biodiesel,$/Gallon
1826,agricultual_production_shift,net_zero_2050,texas,2050,4.136465308587241,biodiesel,$/Gallon
3277,agricultual_production_shift,business_as_usual,california,2025,4.772874777943682,biodiesel,$/Gallon
3278,agricultual_production_shift,business_as_usual,california,2030,3.7400576005763897,biodiesel,$/Gallon
3279,agricultual_production_shift,business_as_usual,california,2035,2.9302905751309267,biodiesel,$/Gallon
3280,agricultual_production_shift,business_as_usual,california,2040,2.2959965368397595,biodiesel,$/Gallon
3281,agricultual_production_shift,business_as_usual,california,2045,1.7989188786810997,biodiesel,$/Gallon
3282,agricultual_production_shift,business_as_usual,california,2050,1.4094956891975354,biodiesel,$/Gallon
3284,agricultual_production_shift,business_as_usual,central,2025,6.55021003551034,biodiesel,$/Gallon
3285,agricultual_production_shift,business_as_usual,central,2030,5.132261344698992,biodiesel,$/Gallon
3286,agricultual_production_shift,business_as_usual,central,2035,4.021260828345835,biodiesel,$/Gallon
3287,agricultual_production_shift,business_as_usual,central,2040,3.150763313468346,biodiesel,$/Gallon
3288,agricultual_production_shift,business_as_usual,central,2045,2.4687053876481384,biodiesel,$/Gallon
3289,agricultual_production_shift,business_as_usual,central,2050,1.934295286149358,biodiesel,$/Gallon
3291,agricultual_production_shift,business_as_usual,middle_atlantic,2025,9.636363868089395,biodiesel,$/Gallon
3292,agricultual_production_shift,business_as_usual,middle_atlantic,2030,7.739382091383038,biodiesel,$/Gallon
3293,agricultual_production_shift,business_as_usual,middle_atlantic,2035,6.21081349955596,biodiesel,$/Gallon
3294,agricultual_production_shift,business_as_usual,middle_atlantic,2040,5.005801231760565,biodiesel,$/Gallon
3295,agricultual_production_shift,business_as_usual,middle_atlantic,2045,4.01836932852504,biodiesel,$/Gallon
3296,agricultual_production_shift,business_as_usual,middle_atlantic,2050,3.1423727417499845,biodiesel,$/Gallon
3298,agricultual_production_shift,business_as_usual,north_east,2025,9.21164803127724,biodiesel,$/Gallon
3299,agricultual_production_shift,business_as_usual,north_east,2030,7.370374605137249,biodiesel,$/Gallon
3300,agricultual_production_shift,business_as_usual,north_east,2035,5.919585592626095,biodiesel,$/Gallon
3301,agricultual_production_shift,business_as_usual,north_east,2040,4.778153463477525,biodiesel,$/Gallon
3302,agricultual_production_shift,business_as_usual,north_east,2045,3.8385064689557566,biodiesel,$/Gallon
3303,agricultual_production_shift,business_as_usual,north_east,2050,3.0038671072508607,biodiesel,$/Gallon
3305,agricultual_production_shift,business_as_usual,north_west,2025,4.772872360151382,biodiesel,$/Gallon
3306,agricultual_production_shift,business_as_usual,north_west,2030,3.739671523687567,biodiesel,$/Gallon
3307,agricultual_production_shift,business_as_usual,north_west,2035,2.9301290172707755,biodiesel,$/Gallon
3308,agricultual_production_shift,business_as_usual,north_west,2040,2.295833525906867,biodiesel,$/Gallon
3309,agricultual_production_shift,business_as_usual,north_west,2045,1.7988454263880989,biodiesel,$/Gallon
3310,agricultual_production_shift,business_as_usual,north_west,2050,1.40944254826837,biodiesel,$/Gallon
3312,agricultual_production_shift,business_as_usual,north_central,2025,6.55021013030649,biodiesel,$/Gallon
3313,agricultual_production_shift,business_as_usual,north_central,2030,5.132261348736329,biodiesel,$/Gallon
3314,agricultual_production_shift,business_as_usual,north_central,2035,4.02126087872185,biodiesel,$/Gallon
3315,agricultual_production_shift,business_as_usual,north_central,2040,3.1507632936194248,biodiesel,$/Gallon
3316,agricultual_production_shift,business_as_usual,north_central,2045,2.468705402020981,biodiesel,$/Gallon
3317,agricultual_production_shift,business_as_usual,north_central,2050,1.9342952953974508,biodiesel,$/Gallon
3319,agricultual_production_shift,business_as_usual,south_east,2025,8.82853336381541,biodiesel,$/Gallon
3320,agricultual_production_shift,business_as_usual,south_east,2030,7.068486978327497,biodiesel,$/Gallon
3321,agricultual_production_shift,business_as_usual,south_east,2035,5.685150520288782,biodiesel,$/Gallon
3322,agricultual_production_shift,business_as_usual,south_east,2040,4.593931368813531,biodiesel,$/Gallon
3323,agricultual_production_shift,business_as_usual,south_east,2045,3.695658910426745,biodiesel,$/Gallon
3324,agricultual_production_shift,business_as_usual,south_east,2050,2.889520633052541,biodiesel,$/Gallon
3326,agricultual_production_shift,business_as_usual,south_west,2025,4.772871920789693,biodiesel,$/Gallon
3327,agricultual_production_shift,business_as_usual,south_west,2030,3.739671053027133,biodiesel,$/Gallon
3328,agricultual_production_shift,business_as_usual,south_west,2035,2.930129216521,biodiesel,$/Gallon
3329,agricultual_production_shift,business_as_usual,south_west,2040,2.2958335777970222,biodiesel,$/Gallon
3330,agricultual_production_shift,business_as_usual,south_west,2045,1.798845431691892,biodiesel,$/Gallon
3331,agricultual_production_shift,business_as_usual,south_west,2050,1.4094424914877577,biodiesel,$/Gallon
3333,agricultual_production_shift,business_as_usual,texas,2025,8.42360226202732,biodiesel,$/Gallon
3334,agricultual_production_shift,business_as_usual,texas,2030,6.733893794636427,biodiesel,$/Gallon
3335,agricultual_production_shift,business_as_usual,texas,2035,5.428104637438446,biodiesel,$/Gallon
3336,agricultual_production_shift,business_as_usual,texas,2040,4.389900797739252,biodiesel,$/Gallon
3337,agricultual_production_shift,business_as_usual,texas,2045,3.537099487415515,biodiesel,$/Gallon
3338,agricultual_production_shift,business_as_usual,texas,2050,2.762843515849223,biodiesel,$/Gallon
4033,agricultual_production_shift,50%_reduction_2050,california,2025,5.2896200630737775,hydrogen,$/kg
4034,agricultual_production_shift,50%_reduction_2050,california,2030,3.1678554232470515,hydrogen,$/kg
4035,agricultual_production_shift,50%_reduction_2050,california,2035,1.9360401699986576,hydrogen,$/kg
4036,agricultual_production_shift,50%_reduction_2050,california,2040,2.472654083458268,hydrogen,$/kg
4037,agricultual_production_shift,50%_reduction_2050,california,2045,2.55646383721755,hydrogen,$/kg
4038,agricultual_production_shift,50%_reduction_2050,california,2050,1.8769107295946483,hydrogen,$/kg
4040,agricultual_production_shift,50%_reduction_2050,central,2025,5.048767761286428,hydrogen,$/kg
4041,agricultual_production_shift,50%_reduction_2050,central,2030,2.858144082902386,hydrogen,$/kg
4042,agricultual_production_shift,50%_reduction_2050,central,2035,1.980603090450876,hydrogen,$/kg
4043,agricultual_production_shift,50%_reduction_2050,central,2040,1.888067699688148,hydrogen,$/kg
4044,agricultual_production_shift,50%_reduction_2050,central,2045,1.9593962401244087,hydrogen,$/kg
4045,agricultual_production_shift,50%_reduction_2050,central,2050,1.0288400986068984,hydrogen,$/kg
4047,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2025,5.122267257572211,hydrogen,$/kg
4048,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2030,2.8431178371776946,hydrogen,$/kg
4049,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2035,2.079233029290904,hydrogen,$/kg
4050,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2040,1.855057612804275,hydrogen,$/kg
4051,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2045,2.1916283019947684,hydrogen,$/kg
4052,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2050,1.6372011619527762,hydrogen,$/kg
4054,agricultual_production_shift,50%_reduction_2050,north_east,2025,5.640496630733005,hydrogen,$/kg
4055,agricultual_production_shift,50%_reduction_2050,north_east,2030,3.1235117142967908,hydrogen,$/kg
4056,agricultual_production_shift,50%_reduction_2050,north_east,2035,2.381123954069954,hydrogen,$/kg
4057,agricultual_production_shift,50%_reduction_2050,north_east,2040,1.994981008327424,hydrogen,$/kg
4058,agricultual_production_shift,50%_reduction_2050,north_east,2045,2.7302398474307283,hydrogen,$/kg
4059,agricultual_production_shift,50%_reduction_2050,north_east,2050,1.825795680241998,hydrogen,$/kg
4061,agricultual_production_shift,50%_reduction_2050,north_west,2025,4.387633514568522,hydrogen,$/kg
4062,agricultual_production_shift,50%_reduction_2050,north_west,2030,2.6900611691980765,hydrogen,$/kg
4063,agricultual_production_shift,50%_reduction_2050,north_west,2035,1.7041459541568722,hydrogen,$/kg
4064,agricultual_production_shift,50%_reduction_2050,north_west,2040,1.9388153661516152,hydrogen,$/kg
4065,agricultual_production_shift,50%_reduction_2050,north_west,2045,2.06594946426548,hydrogen,$/kg
4066,agricultual_production_shift,50%_reduction_2050,north_west,2050,1.4298426466956176,hydrogen,$/kg
4068,agricultual_production_shift,50%_reduction_2050,north_central,2025,5.068010556551536,hydrogen,$/kg
4069,agricultual_production_shift,50%_reduction_2050,north_central,2030,2.8539553428568616,hydrogen,$/kg
4070,agricultual_production_shift,50%_reduction_2050,north_central,2035,2.013801770522163,hydrogen,$/kg
4071,agricultual_production_shift,50%_reduction_2050,north_central,2040,1.848796790138518,hydrogen,$/kg
4072,agricultual_production_shift,50%_reduction_2050,north_central,2045,2.1396513681282743,hydrogen,$/kg
4073,agricultual_production_shift,50%_reduction_2050,north_central,2050,1.1548029437634435,hydrogen,$/kg
4075,agricultual_production_shift,50%_reduction_2050,south_east,2025,4.84610657250653,hydrogen,$/kg
4076,agricultual_production_shift,50%_reduction_2050,south_east,2030,2.687825082162564,hydrogen,$/kg
4077,agricultual_production_shift,50%_reduction_2050,south_east,2035,1.944029846884334,hydrogen,$/kg
4078,agricultual_production_shift,50%_reduction_2050,south_east,2040,1.77583959033542,hydrogen,$/kg
4079,agricultual_production_shift,50%_reduction_2050,south_east,2045,2.0814373812597866,hydrogen,$/kg
4080,agricultual_production_shift,50%_reduction_2050,south_east,2050,1.3010835917540513,hydrogen,$/kg
4082,agricultual_production_shift,50%_reduction_2050,south_west,2025,4.292737351867863,hydrogen,$/kg
4083,agricultual_production_shift,50%_reduction_2050,south_west,2030,2.6753215814913336,hydrogen,$/kg
4084,agricultual_production_shift,50%_reduction_2050,south_west,2035,1.6994246967822888,hydrogen,$/kg
4085,agricultual_production_shift,50%_reduction_2050,south_west,2040,1.9455162542794608,hydrogen,$/kg
4086,agricultual_production_shift,50%_reduction_2050,south_west,2045,2.185932977269462,hydrogen,$/kg
4087,agricultual_production_shift,50%_reduction_2050,south_west,2050,1.5329641561512912,hydrogen,$/kg
4089,agricultual_production_shift,50%_reduction_2050,texas,2025,4.713033191476472,hydrogen,$/kg
4090,agricultual_production_shift,50%_reduction_2050,texas,2030,2.707304974835326,hydrogen,$/kg
4091,agricultual_production_shift,50%_reduction_2050,texas,2035,1.877302900914096,hydrogen,$/kg
4092,agricultual_production_shift,50%_reduction_2050,texas,2040,1.8258177470667865,hydrogen,$/kg
4093,agricultual_production_shift,50%_reduction_2050,texas,2045,1.961803706110532,hydrogen,$/kg
4094,agricultual_production_shift,50%_reduction_2050,texas,2050,1.1600433150529077,hydrogen,$/kg
5167,agricultual_production_shift,net_zero_2050,california,2025,6.427865604756058,hydrogen,$/kg
5168,agricultual_production_shift,net_zero_2050,california,2030,3.189442870630489,hydrogen,$/kg
5169,agricultual_production_shift,net_zero_2050,california,2035,2.648646937004964,hydrogen,$/kg
5170,agricultual_production_shift,net_zero_2050,california,2040,2.763013687461119,hydrogen,$/kg
5171,agricultual_production_shift,net_zero_2050,california,2045,3.5549307499784035,hydrogen,$/kg
5172,agricultual_production_shift,net_zero_2050,california,2050,2.856175498051851,hydrogen,$/kg
5174,agricultual_production_shift,net_zero_2050,central,2025,6.45196174581276,hydrogen,$/kg
5175,agricultual_production_shift,net_zero_2050,central,2030,3.175411329143329,hydrogen,$/kg
5176,agricultual_production_shift,net_zero_2050,central,2035,2.1277298775226328,hydrogen,$/kg
5177,agricultual_production_shift,net_zero_2050,central,2040,1.2852413024854872,hydrogen,$/kg
5178,agricultual_production_shift,net_zero_2050,central,2045,2.8282271511392985,hydrogen,$/kg
5179,agricultual_production_shift,net_zero_2050,central,2050,2.521209279477237,hydrogen,$/kg
5181,agricultual_production_shift,net_zero_2050,middle_atlantic,2025,6.456490785907447,hydrogen,$/kg
5182,agricultual_production_shift,net_zero_2050,middle_atlantic,2030,3.211354627862756,hydrogen,$/kg
5183,agricultual_production_shift,net_zero_2050,middle_atlantic,2035,3.1931710887172806,hydrogen,$/kg
5184,agricultual_production_shift,net_zero_2050,middle_atlantic,2040,2.3284261678145453,hydrogen,$/kg
5185,agricultual_production_shift,net_zero_2050,middle_atlantic,2045,3.390823968384512,hydrogen,$/kg
5186,agricultual_production_shift,net_zero_2050,middle_atlantic,2050,2.910560252275314,hydrogen,$/kg
5188,agricultual_production_shift,net_zero_2050,north_east,2025,6.71759321160472,hydrogen,$/kg
5189,agricultual_production_shift,net_zero_2050,north_east,2030,3.467069787551214,hydrogen,$/kg
5190,agricultual_production_shift,net_zero_2050,north_east,2035,3.793171492415613,hydrogen,$/kg
5191,agricultual_production_shift,net_zero_2050,north_east,2040,2.9157112270313443,hydrogen,$/kg
5192,agricultual_production_shift,net_zero_2050,north_east,2045,3.808322157080581,hydrogen,$/kg
5193,agricultual_production_shift,net_zero_2050,north_east,2050,3.228252233253291,hydrogen,$/kg
5195,agricultual_production_shift,net_zero_2050,north_west,2025,6.0461288329276766,hydrogen,$/kg
5196,agricultual_production_shift,net_zero_2050,north_west,2030,3.093640457735747,hydrogen,$/kg
5197,agricultual_production_shift,net_zero_2050,north_west,2035,2.303150169229466,hydrogen,$/kg
5198,agricultual_production_shift,net_zero_2050,north_west,2040,1.9694947269025185,hydrogen,$/kg
5199,agricultual_production_shift,net_zero_2050,north_west,2045,2.8181470679841176,hydrogen,$/kg
5200,agricultual_production_shift,net_zero_2050,north_west,2050,2.683483758576376,hydrogen,$/kg
5202,agricultual_production_shift,net_zero_2050,north_central,2025,6.500362529521847,hydrogen,$/kg
5203,agricultual_production_shift,net_zero_2050,north_central,2030,3.1930455440095504,hydrogen,$/kg
5204,agricultual_production_shift,net_zero_2050,north_central,2035,2.48756357754855,hydrogen,$/kg
5205,agricultual_production_shift,net_zero_2050,north_central,2040,1.7611596026190102,hydrogen,$/kg
5206,agricultual_production_shift,net_zero_2050,north_central,2045,2.8828024393050247,hydrogen,$/kg
5207,agricultual_production_shift,net_zero_2050,north_central,2050,2.623256226144956,hydrogen,$/kg
5209,agricultual_production_shift,net_zero_2050,south_east,2025,6.263107218439762,hydrogen,$/kg
5210,agricultual_production_shift,net_zero_2050,south_east,2030,3.0967813762980274,hydrogen,$/kg
5211,agricultual_production_shift,net_zero_2050,south_east,2035,2.5019219890916387,hydrogen,$/kg
5212,agricultual_production_shift,net_zero_2050,south_east,2040,1.819279244936732,hydrogen,$/kg
5213,agricultual_production_shift,net_zero_2050,south_east,2045,2.9404764427417014,hydrogen,$/kg
5214,agricultual_production_shift,net_zero_2050,south_east,2050,2.5688083267250112,hydrogen,$/kg
5216,agricultual_production_shift,net_zero_2050,south_west,2025,6.035920922482153,hydrogen,$/kg
5217,agricultual_production_shift,net_zero_2050,south_west,2030,3.0484813901741177,hydrogen,$/kg
5218,agricultual_production_shift,net_zero_2050,south_west,2035,2.4878208304877054,hydrogen,$/kg
5219,agricultual_production_shift,net_zero_2050,south_west,2040,2.1572662045465227,hydrogen,$/kg
5220,agricultual_production_shift,net_zero_2050,south_west,2045,3.186987872504605,hydrogen,$/kg
5221,agricultual_production_shift,net_zero_2050,south_west,2050,2.5402439865367152,hydrogen,$/kg
5223,agricultual_production_shift,net_zero_2050,texas,2025,6.184485326281039,hydrogen,$/kg
5224,agricultual_production_shift,net_zero_2050,texas,2030,3.0393410284211733,hydrogen,$/kg
5225,agricultual_production_shift,net_zero_2050,texas,2035,2.126749166630956,hydrogen,$/kg
5226,agricultual_production_shift,net_zero_2050,texas,2040,1.6626032033396696,hydrogen,$/kg
5227,agricultual_production_shift,net_zero_2050,texas,2045,2.8835429597985587,hydrogen,$/kg
5228,agricultual_production_shift,net_zero_2050,texas,2050,2.5505638356148213,hydrogen,$/kg
6679,agricultual_production_shift,business_as_usual,california,2025,4.681270145125748,hydrogen,$/kg
6680,agricultual_production_shift,business_as_usual,california,2030,2.8580395698612824,hydrogen,$/kg
6681,agricultual_production_shift,business_as_usual,california,2035,2.434091558258455,hydrogen,$/kg
6682,agricultual_production_shift,business_as_usual,california,2040,2.4942107516844088,hydrogen,$/kg
6683,agricultual_production_shift,business_as_usual,california,2045,1.9489768356009225,hydrogen,$/kg
6684,agricultual_production_shift,business_as_usual,california,2050,1.4920088319286469,hydrogen,$/kg
6686,agricultual_production_shift,business_as_usual,central,2025,3.642949789154358,hydrogen,$/kg
6687,agricultual_production_shift,business_as_usual,central,2030,2.727646020204312,hydrogen,$/kg
6688,agricultual_production_shift,business_as_usual,central,2035,1.9850048108598293,hydrogen,$/kg
6689,agricultual_production_shift,business_as_usual,central,2040,1.81417696190996,hydrogen,$/kg
6690,agricultual_production_shift,business_as_usual,central,2045,1.4574394560752095,hydrogen,$/kg
6691,agricultual_production_shift,business_as_usual,central,2050,1.140573586894443,hydrogen,$/kg
6693,agricultual_production_shift,business_as_usual,middle_atlantic,2025,3.9180436777816734,hydrogen,$/kg
6694,agricultual_production_shift,business_as_usual,middle_atlantic,2030,2.8389961315145507,hydrogen,$/kg
6695,agricultual_production_shift,business_as_usual,middle_atlantic,2035,2.1146994455107606,hydrogen,$/kg
